"Nome";"Ano";"Classificacao";"Duracao";"Nota";"Avaliaçoes";"Numero";"DuracaoN";"AvaliaçoesN"
"Taxi Driver: Motorista de Táxi";"1976";"14";"1h 54m";"8.2";" (980 mil)";"130";"114";"980000.0"
"Green Book: O Guia";"2018";"12";"2h 10m";"8.2";" (637 mil)";"131";"130";"637000.0"
"Batman Begins";"2005";"10";"2h 20m";"8.2";" (1,6 mi)";"132";"140";"1600000.0"
"Por uns Dólares a Mais";"1965";"12";"2h 12m";"8.2";" (289 mil)";"133";"132";"289000.0"
"O Show de Truman: O Show da Vida";"1998";"12";"1h 43m";"8.2";" (1,3 mi)";"134";"103";"1300000.0"
"Julgamento em Nuremberg";"1961";"0";"2h 59m";"8.3";" (92 mil)";"135";"179";"92000.0"
"Quanto Mais Quente Melhor";"1959";"0";"2h 1m";"8.2";" (295 mil)";"136";"121";"295000.0"
"Ilha do Medo";"2010";"16";"2h 18m";"8.2";" (1,6 mi)";"137";"138";"1600000.0"
"O Garoto";"1921";"0";"1h 8m";"8.2";" (141 mil)";"138";"68";"141000.0"
"Meu Pai";"2020";"12";"1h 37m";"8.2";" (214 mil)";"139";"97";"214000.0"
"A Malvada";"1950";"0";"2h 18m";"8.2";" (145 mil)";"140";"138";"145000.0"
"Jurassic Park: O Parque dos Dinossauros";"1993";"0";"2h 7m";"8.2";" (1,1 mi)";"141";"127";"1100000.0"
"Sangue Negro";"2007";"14";"2h 38m";"8.2";" (672 mil)";"142";"158";"672000.0"
"O Sexto Sentido";"1999";"12";"1h 47m";"8.2";" (1,1 mi)";"143";"107";"1100000.0"
"Cassino";"1995";"18";"2h 58m";"8.2";" (593 mil)";"144";"178";"593000.0"
"Ran";"1985";"16";"2h 40m";"8.2";" (144 mil)";"145";"160";"144000.0"
"Top Gun: Maverick";"2022";"12";"2h 10m";"8.2";" (778 mil)";"146";"130";"778000.0"
"Onde os Fracos Não Têm Vez";"2007";"16";"2h 2m";"8.2";" (1,1 mi)";"147";"122";"1100000.0"
"O Enigma de Outro Mundo";"1982";"14";"1h 49m";"8.2";" (499 mil)";"148";"109";"499000.0"
"O Labirinto do Fauno";"2006";"16";"1h 58m";"8.2";" (726 mil)";"149";"118";"726000.0"
"Os Imperdoáveis";"1992";"12";"2h 10m";"8.2";" (455 mil)";"150";"130";"455000.0"
"Uma Mente Brilhante";"2001";"12";"2h 15m";"8.2";" (1 mi)";"151";"135";"1000000.0"
"Kill Bill: Volume 1";"2003";"18";"1h 51m";"8.2";" (1,3 mi)";"152";"111";"1300000.0"
"O Tesouro da Sierra Madre";"1948";"0";"2h 6m";"8.2";" (138 mil)";"153";"126";"138000.0"
"Os Suspeitos";"2013";"16";"2h 33m";"8.2";" (873 mil)";"154";"153";"873000.0"
"Yojimbo, o Guarda-Costas";"1961";"0";"1h 50m";"8.2";" (138 mil)";"155";"110";"138000.0"
"Procurando Nemo";"2003";"0";"1h 40m";"8.2";" (1,2 mi)";"156";"100";"1200000.0"
"O Castelo Animado";"2004";"0";"1h 59m";"8.2";" (484 mil)";"157";"119";"484000.0"
"Fugindo do Inferno";"1963";"12";"2h 52m";"8.2";" (269 mil)";"158";"172";"269000.0"
"Monty Python em Busca do Cálice Sagrado";"1975";"0";"1h 31m";"8.2";" (588 mil)";"159";"91";"588000.0"
"O Homem Elefante";"1980";"10";"2h 4m";"8.2";" (273 mil)";"160";"124";"273000.0"
"Disque M para Matar";"1954";"16";"1h 45m";"8.2";" (198 mil)";"161";"105";"198000.0"
"Klaus";"2019";"10";"1h 36m";"8.2";" (215 mil)";"162";"96";"215000.0"
"...E o Vento Levou";"1939";"0";"3h 58m";"8.2";" (347 mil)";"163";"238";"347000.0"
"Rashomon";"1950";"14";"1h 28m";"8.2";" (190 mil)";"164";"88";"190000.0"
"Chinatown";"1974";"12";"2h 10m";"8.1";" (365 mil)";"165";"130";"365000.0"
"O Segredo dos Seus Olhos";"2009";"16";"2h 9m";"8.2";" (233 mil)";"166";"129";"233000.0"
"Jogos, Trapaças e Dois Canos Fumegantes";"1998";"18";"1h 47m";"8.1";" (636 mil)";"167";"107";"636000.0"
"V de Vingança";"2005";"16";"2h 12m";"8.1";" (1,2 mi)";"168";"132";"1200000.0"
"Divertida Mente";"2015";"0";"1h 35m";"8.1";" (869 mil)";"169";"95";"869000.0"
"Três Anúncios para um Crime";"2017";"16";"1h 55m";"8.1";" (584 mil)";"170";"115";"584000.0"
"A Ponte do Rio Kwai";"1957";"12";"2h 41m";"8.1";" (242 mil)";"171";"161";"242000.0"
"Trainspotting: Sem Limites";"1996";"18";"1h 33m";"8.1";" (750 mil)";"172";"93";"750000.0"
"Prenda-Me se for Capaz";"2002";"12";"2h 21m";"8.1";" (1,2 mi)";"173";"141";"1200000.0"
"Touro Indomável";"1980";"16";"2h 9m";"8.1";" (396 mil)";"174";"129";"396000.0"
"Robô Selvagem";"2024";"0";"1h 42m";"8.2";" (172 mil)";"175";"102";"172000.0"
"Fargo: Uma Comédia de Erros";"1996";"18";"1h 38m";"8.1";" (757 mil)";"176";"98";"757000.0"
"Guerreiro";"2011";"12";"2h 20m";"8.1";" (515 mil)";"177";"140";"515000.0"
"Harry Potter e as Relíquias da Morte - Parte 2";"2011";"12";"2h 10m";"8.1";" (999 mil)";"178";"130";"999000.0"
"Gran Torino";"2008";"14";"1h 56m";"8.1";" (840 mil)";"179";"116";"840000.0"
"Menina de Ouro";"2004";"12";"2h 12m";"8.1";" (747 mil)";"180";"132";"747000.0"
"Ben-Hur";"1959";"12";"3h 32m";"8.1";" (264 mil)";"181";"212";"264000.0"
"Mad Max: Estrada da Fúria";"2015";"16";"2h";"8.1";" (1,2 mi)";"182";"120";"1200000.0"
"Meu Amigo Totoro";"1988";"0";"1h 26m";"8.1";" (408 mil)";"183";"86";"408000.0"
"Barry Lyndon";"1975";"0";"3h 5m";"8.1";" (194 mil)";"184";"185";"194000.0"
"Homem-Aranha: Sem Volta para Casa";"2021";"12";"2h 28m";"8.2";" (954 mil)";"185";"148";"954000.0"
"Sociedade dos Poetas Mortos";"1989";"12";"2h 8m";"8.1";" (592 mil)";"186";"128";"592000.0"
"Filhos do Paraíso";"1997";"0";"1h 29m";"8.2";" (86 mil)";"187";"89";"86000.0"
"12 Anos de Escravidão";"2013";"14";"2h 14m";"8.1";" (765 mil)";"188";"134";"765000.0"
"Antes do Amanhecer";"1995";"12";"1h 41m";"8.1";" (360 mil)";"189";"101";"360000.0"
"O Grande Hotel Budapeste";"2014";"14";"1h 39m";"8.1";" (928 mil)";"190";"99";"928000.0"
"Até o Último Homem";"2016";"16";"2h 19m";"8.1";" (639 mil)";"191";"139";"639000.0"
"Blade Runner: O Caçador de Andróides";"1982";"14";"1h 57m";"8.1";" (855 mil)";"192";"117";"855000.0"
"Garota Exemplar";"2014";"14";"2h 29m";"8.1";" (1,1 mi)";"193";"149";"1100000.0"
"Memórias de um Assassino";"2003";"14";"2h 11m";"8.1";" (242 mil)";"194";"131";"242000.0"
"Ratatouille";"2007";"0";"1h 51m";"8.1";" (887 mil)";"195";"111";"887000.0"
"Monstros S.A.";"2001";"0";"1h 32m";"8.1";" (1 mi)";"196";"92";"1000000.0"
"Em Nome do Pai";"1993";"16";"2h 13m";"8.1";" (196 mil)";"197";"133";"196000.0"
"Como Treinar o Seu Dragão";"2010";"0";"1h 38m";"8.1";" (845 mil)";"198";"98";"845000.0"
"Relatos Selvagens";"2014";"14";"2h 2m";"8.1";" (229 mil)";"199";"122";"229000.0"
"Em Busca do Ouro";"1925";"0";"1h 35m";"8.1";" (124 mil)";"200";"95";"124000.0"
"Bancando o Águia";"1924";"0";"45m";"8.2";" (62 mil)";"201";"45";"62000.0"
"Tubarão";"1975";"14";"2h 4m";"8.1";" (695 mil)";"202";"124";"695000.0"
"Mary e Max - Uma Amizade Diferente";"2009";"12";"1h 32m";"8.1";" (196 mil)";"203";"92";"196000.0"
"O Franco Atirador";"1978";"18";"3h 3m";"8.1";" (376 mil)";"204";"183";"376000.0"
"Ford vs. Ferrari";"2019";"12";"2h 32m";"8.1";" (524 mil)";"205";"152";"524000.0"
"A General";"1926";"0";"1h 18m";"8.1";" (103 mil)";"206";"78";"103000.0"
"O Salário do Medo";"1953";"16";"2h 36m";"8.1";" (71 mil)";"207";"156";"71000.0"
"A Mulher Faz o Homem";"1939";"0";"2h 9m";"8.1";" (126 mil)";"208";"129";"126000.0"
"Sindicato de Ladrões";"1954";"14";"1h 48m";"8.1";" (173 mil)";"209";"108";"173000.0"
"Morangos Silvestres";"1957";"10";"1h 32m";"8.1";" (121 mil)";"210";"92";"121000.0"
"Logan";"2017";"16";"2h 17m";"8.1";" (891 mil)";"211";"137";"891000.0"
"Rocky, um Lutador";"1976";"12";"2h";"8.1";" (661 mil)";"212";"120";"661000.0"
"O 3º Homem";"1949";"14";"1h 44m";"8.1";" (190 mil)";"213";"104";"190000.0"
"Era uma Vez em Tóquio";"1953";"10";"2h 17m";"8.1";" (74 mil)";"214";"137";"74000.0"
"Spotlight: Segredos Revelados";"2015";"12";"2h 9m";"8.1";" (519 mil)";"215";"129";"519000.0"
"O Grande Lebowski";"1998";"14";"1h 57m";"8.1";" (891 mil)";"216";"117";"891000.0"
"O Exterminador do Futuro";"1984";"14";"1h 47m";"8.1";" (966 mil)";"217";"107";"966000.0"
"O Mistério da Lixeira";"2024";"0";"2h 21m";"8.4";" (69 mil)";"218";"141";"69000.0"
"O Sétimo Selo";"1957";"12";"1h 36m";"8.1";" (209 mil)";"219";"96";"209000.0"
"Piratas do Caribe: A Maldição do Pérola Negra";"2003";"14";"2h 23m";"8.1";" (1,3 mi)";"220";"143";"1300000.0"
"O Quarto de Jack";"2015";"14";"1h 58m";"8.1";" (468 mil)";"221";"118";"468000.0"
"O Ódio";"1995";"16";"1h 38m";"8.1";" (212 mil)";"222";"98";"212000.0"
"Jai Bhim";"2021";"0";"2h 44m";"8.6";" (226 mil)";"223";"164";"226000.0"
"Hotel Ruanda";"2004";"14";"2h 1m";"8.1";" (384 mil)";"224";"121";"384000.0"
"Platoon";"1986";"14";"2h";"8.1";" (457 mil)";"225";"120";"457000.0"
"Os Melhores Anos de Nossa Vida";"1946";"0";"2h 50m";"8.1";" (75 mil)";"226";"170";"75000.0"
"Ainda Estou Aqui";"2024";"14";"2h 17m";"8.2";" (110 mil)";"227";"137";"110000.0"
