"Nome";"Ano";"Classificacao";"Duracao";"Nota";"Avaliaçoes"
"111. Um Corpo que Cai";"1958";"14";"2h 8m";"8,2";" (445 mil)"
"112. O Fabuloso Destino de Amélie Poulain";"2001";"14";"2h 2m";"8,3";" (819 mil)"
"113. A Separação";"2011";"12";"2h 3m";"8,3";" (270 mil)"
"114. Como Estrelas na Terra";"2007";"0";"2h 42m";"8,3";" (218 mil)"
"115. O Sol é para Todos";"1962";"12";"2h 9m";"8,3";" (344 mil)"
"116. Laranja Mecânica";"1971";"0";"2h 16m";"8,2";" (912 mil)"
"117. Duro de Matar";"1988";"14";"2h 12m";"8,2";" (991 mil)"
"118. Indiana Jones e a Última Cruzada";"1989";"0";"2h 7m";"8,2";" (839 mil)"
"119. Golpe de Mestre";"1973";"18";"2h 9m";"8,2";" (291 mil)"
"120. Oppenheimer";"2023";"16";"3h";"8,3";" (895 mil)"
"121. Metrópolis";"1927";"0";"2h 33m";"8,3";" (195 mil)"
"122. Snatch - Porcos e Diamantes";"2000";"16";"1h 44m";"8,2";" (947 mil)"
"123. 1917";"2019";"14";"1h 59m";"8,2";" (729 mil)"
"124. Los Angeles: Cidade Proibida";"1997";"18";"2h 18m";"8,2";" (642 mil)"
"125. Ladrões de Bicicletas";"1948";"10";"1h 29m";"8,2";" (186 mil)"
"126. A Queda! As Últimas Horas de Hitler";"2004";"16";"2h 36m";"8,2";" (389 mil)"
"127. Dangal";"2016";"10";"2h 41m";"8,3";" (226 mil)"
"128. O Lobo de Wall Street";"2013";"18";"3h";"8,2";" (1,7 mi)"
"129. Hamilton";"2020";"12";"2h 40m";"8,3";" (128 mil)"
"130. Taxi Driver: Motorista de Táxi";"1976";"14";"1h 54m";"8,2";" (980 mil)"
"131. Green Book: O Guia";"2018";"12";"2h 10m";"8,2";" (637 mil)"
"132. Batman Begins";"2005";"10";"2h 20m";"8,2";" (1,6 mi)"
"133. Por uns Dólares a Mais";"1965";"12";"2h 12m";"8,2";" (289 mil)"
"134. O Show de Truman: O Show da Vida";"1998";"12";"1h 43m";"8,2";" (1,3 mi)"
"135. Julgamento em Nuremberg";"1961";"0";"2h 59m";"8,3";" (92 mil)"
"136. Quanto Mais Quente Melhor";"1959";"0";"2h 1m";"8,2";" (295 mil)"
"137. Ilha do Medo";"2010";"16";"2h 18m";"8,2";" (1,6 mi)"
"138. O Garoto";"1921";"0";"1h 8m";"8,2";" (141 mil)"
"139. Meu Pai";"2020";"12";"1h 37m";"8,2";" (214 mil)"
"140. A Malvada";"1950";"0";"2h 18m";"8,2";" (145 mil)"
"141. Jurassic Park: O Parque dos Dinossauros";"1993";"0";"2h 7m";"8,2";" (1,1 mi)"
"142. Sangue Negro";"2007";"14";"2h 38m";"8,2";" (672 mil)"
"143. O Sexto Sentido";"1999";"12";"1h 47m";"8,2";" (1,1 mi)"
"144. Cassino";"1995";"18";"2h 58m";"8,2";" (593 mil)"
"145. Ran";"1985";"16";"2h 40m";"8,2";" (144 mil)"
"146. Top Gun: Maverick";"2022";"12";"2h 10m";"8,2";" (778 mil)"
"147. Onde os Fracos Não Têm Vez";"2007";"16";"2h 2m";"8,2";" (1,1 mi)"
"148. O Enigma de Outro Mundo";"1982";"14";"1h 49m";"8,2";" (499 mil)"
"149. O Labirinto do Fauno";"2006";"16";"1h 58m";"8,2";" (726 mil)"
"150. Os Imperdoáveis";"1992";"12";"2h 10m";"8,2";" (455 mil)"
"151. Uma Mente Brilhante";"2001";"12";"2h 15m";"8,2";" (1 mi)"
"152. Kill Bill: Volume 1";"2003";"18";"1h 51m";"8,2";" (1,3 mi)"
"153. O Tesouro da Sierra Madre";"1948";"0";"2h 6m";"8,2";" (138 mil)"
"154. Os Suspeitos";"2013";"16";"2h 33m";"8,2";" (873 mil)"
"155. Yojimbo, o Guarda-Costas";"1961";"0";"1h 50m";"8,2";" (138 mil)"
"156. Procurando Nemo";"2003";"0";"1h 40m";"8,2";" (1,2 mi)"
"157. O Castelo Animado";"2004";"0";"1h 59m";"8,2";" (484 mil)"
"158. Fugindo do Inferno";"1963";"12";"2h 52m";"8,2";" (269 mil)"
"159. Monty Python em Busca do Cálice Sagrado";"1975";"0";"1h 31m";"8,2";" (588 mil)"
"160. O Homem Elefante";"1980";"10";"2h 4m";"8,2";" (273 mil)"
"161. Disque M para Matar";"1954";"16";"1h 45m";"8,2";" (198 mil)"
"162. Klaus";"2019";"10";"1h 36m";"8,2";" (215 mil)"
"163. ...E o Vento Levou";"1939";"0";"3h 58m";"8,2";" (347 mil)"
"164. Rashomon";"1950";"14";"1h 28m";"8,2";" (190 mil)"
"165. Chinatown";"1974";"12";"2h 10m";"8,1";" (365 mil)"
"166. O Segredo dos Seus Olhos";"2009";"16";"2h 9m";"8,2";" (233 mil)"
"167. Jogos, Trapaças e Dois Canos Fumegantes";"1998";"18";"1h 47m";"8,1";" (636 mil)"
"168. V de Vingança";"2005";"16";"2h 12m";"8,1";" (1,2 mi)"
"169. Divertida Mente";"2015";"0";"1h 35m";"8,1";" (869 mil)"
"170. Três Anúncios para um Crime";"2017";"16";"1h 55m";"8,1";" (584 mil)"
"171. A Ponte do Rio Kwai";"1957";"12";"2h 41m";"8,1";" (242 mil)"
"172. Trainspotting: Sem Limites";"1996";"18";"1h 33m";"8,1";" (750 mil)"
"173. Prenda-Me se for Capaz";"2002";"12";"2h 21m";"8,1";" (1,2 mi)"
"174. Touro Indomável";"1980";"16";"2h 9m";"8,1";" (396 mil)"
"175. Robô Selvagem";"2024";"0";"1h 42m";"8,2";" (172 mil)"
"176. Fargo: Uma Comédia de Erros";"1996";"18";"1h 38m";"8,1";" (757 mil)"
"177. Guerreiro";"2011";"12";"2h 20m";"8,1";" (515 mil)"
"178. Harry Potter e as Relíquias da Morte - Parte 2";"2011";"12";"2h 10m";"8,1";" (999 mil)"
"179. Gran Torino";"2008";"14";"1h 56m";"8,1";" (840 mil)"
"180. Menina de Ouro";"2004";"12";"2h 12m";"8,1";" (747 mil)"
"181. Ben-Hur";"1959";"12";"3h 32m";"8,1";" (264 mil)"
